JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),
     1.003,   300.000,   409.998,    -0.004,     0.002,     0.000,     0.000,     0.450,    56.048,   971.000,     1.000,    -0.000,  -209.609,     0.000,   214.725,   306.730,    39.879,    77.724,
    31.000,   259.422,   410.001,    -1.288,     0.000,     0.000,     0.000,     0.450,    56.051,   971.000,     1.000,     0.973,  -103.693,     0.000,   242.002,   300.988,    21.250,    23.456,
    61.000,   260.155,   410.000,    -0.926,     0.000,     0.000,     0.000,     0.450,    56.050,   971.000,     1.000,     0.205,  -103.587,     0.000,   236.321,   302.602,    15.717,    21.588,
    91.000,   300.000,   410.000,     2.331,     0.002,     0.000,     0.000,     0.450,    56.050,   971.000,     1.000,     2.510,   -67.372,     0.000,   258.416,   317.337,     9.454,    -1.003,
   121.000,   300.000,   410.000,     3.588,     0.002,     0.000,     0.000,     0.450,    56.050,   971.000,     1.000,     3.725,   -71.925,     0.000,   270.200,   323.173,    10.492,     8.460,
   151.000,   300.000,   410.000,     3.777,     0.001,     0.000,     0.000,     0.450,    56.050,   971.000,     1.000,     3.840,   -49.908,     0.000,   272.841,   324.051,     1.019,    -2.321,
   181.000,   184.178,   410.001,    11.559,     0.000,     0.000,     0.000,     0.450,    56.051,   971.000,     1.000,     6.970,  -154.516,     0.000,   274.509,   362.041,    50.783,    16.201,
   211.000,   121.773,   410.001,    16.020,     0.000,     0.000,     0.000,     0.450,    56.051,   971.000,     1.000,     9.674,  -111.693,     0.000,   332.704,   385.268,    46.467,    12.661,
   241.000,   179.396,   410.000,    11.656,     0.000,     0.000,     0.000,     0.450,    56.050,   971.000,     1.000,    10.674,   -59.704,     0.000,   308.524,   362.542,     8.285,    -2.599,
   271.000,   300.000,   410.000,     7.214,     0.001,     0.000,     0.000,     0.450,    56.050,   971.000,     1.000,     7.130,   -95.218,     0.000,   262.179,   340.440,    13.704,     3.253,
   301.000,   300.000,   410.000,     2.554,     0.001,     0.000,     0.000,     0.450,    56.050,   971.000,     1.000,     2.995,   -60.008,     0.000,   268.955,   318.363,     6.009,     4.590,
   331.000,   300.000,   410.000,     0.823,     0.000,     0.000,     0.000,     0.450,    56.050,   971.000,     1.000,     1.635,   -81.892,     0.000,   248.887,   310.451,     8.850,    11.478,
   361.000,   273.089,   410.001,    -0.544,     0.000,     0.000,     0.000,     0.450,    56.051,   971.000,     1.000,     1.061,  -135.468,     0.000,   223.057,   304.294,    22.609,    31.622,
